"HDB, [dense clusters separated by noise], 510 Noise points",,,,,,
,run1,run2,run3,run4,run5,average
max_rnd_rnd,0.976517621142228,0.966342253146947,0.962956768662588,0.967685141265455,0.957002105949343,0.966100778033312
max_rnd_core,0.929343546899664,0.984170151545497,0.96319859128071,0.990369136093533,0.968502337349876,0.967116752633856
max_rnd_border,0.851594695783161,0.880902356800123,0.865157468342003,0.887858560080412,0.899040323859077,0.876910680972955
max_rnd_rnd,0.916000580768377,0.9142692877809,0.954012620256396,0.975968865745789,0.952358151390092,0.942521901188311
max_softDiscard_core,0.951142088186782,0.981497425371998,0.951717198376668,0.970452237565648,0.985089078010395,0.967979605502298
max_hardDiscard_border,0.866960374328937,0.878478438891795,0.810789973710036,0.87210498198977,0.86697648677187,0.859062051138481
max_rnd_rnd,0.930120377858392,0.954528637275664,0.919960804138633,0.927124526787409,0.95381163261982,0.937109195735984
max_softDiscard_core,0.953483538574513,0.974836425436938,0.961869885186243,0.986377062098139,0.96767703864254,0.968848789987674
max_hardDiscard_border,0.825617119025957,0.828824323680508,0.810453136376844,0.83053502225753,0.852393612209297,0.829564642710027
Random smapling,0.97842708121473,0.928288700145665,0.978568212086149,0.969811028026169,0.945012150641235,0.96002143442279
,,,,,,
,,,,,,
,,,,,,
"worms_2D, [overlapping clusters], 1500 noise points",,,,,,
,run1,run2,run3,run4,run5,average
max_rnd_rnd,0.93271677741655,0.929331691876652,0.926926298183907,0.931773578048167,0.93109109091086,0.930367887287227
max_rnd_core,0.951099207666626,0.949054407614195,0.95175722208992,0.950397217149561,0.950146504284326,0.950490911760926
max_rnd_border,0.85627055300281,0.856245969780558,0.860671043065032,0.85895103305078,0.859129278694901,0.858253575518816
max_rnd_rnd,0.875888763002698,0.875197854789144,0.868891317850718,0.880536830627112,0.879379858419245,0.875978924937783
max_softDiscard_core,0.924395943425273,0.925810126556657,0.926843434357285,0.923515271715178,0.925901640509774,0.925293283312834
max_hardDiscard_border,0.822213745836541,0.826258421945169,0.821564229262903,0.825405442981724,0.824128203187503,0.823914008642768
max_rnd_rnd,0.874618472260249,0.870891605512617,0.876805782917774,0.871835983337226,0.877883683724139,0.874407105550401
max_softDiscard_core,0.92367159590602,0.925764862172223,0.925550076232786,0.92654240987514,0.922539263572123,0.924813641551658
max_hardDiscard_border,0.820449090078578,0.825342067514826,0.825652472225236,0.820509272506045,0.825968540255554,0.823584288516048
Random smapling,0.965275096643481,0.962884637729368,0.964629467869359,0.965118101309479,0.962011526348787,0.963983765980095
,,,,,,
,,,,,,
,,,,,,
"2Q, [varying_density_clusters],  50 noise points",,,,,,
,run1,run2,run3,run4,run5,average
max_rnd_rnd,0.912115630720428,0.92994293520918,0.92994293520918,0.892121280577168,0.959316032054378,0.924687762754067
max_rnd_core,0.818403329921971,0.845350936622436,0.892121280577168,0.788940657296621,0.788940657296621,0.826751372342963
max_rnd_border,0.892121280577168,0.756833632418403,0.92994293520918,0.959316032054378,0.92994293520918,0.893631363093662
max_rnd_rnd,0.869892685604156,0.92994293520918,0.818403329921971,0.684038435639042,0.912115630720428,0.842878603418955
max_softDiscard_core,0.845350936622436,0.818403329921971,0.598347422091042,0.818403329921971,0.818403329921971,0.779781669695878
max_hardDiscard_border,0.869892685604156,0.845350936622436,0.869892685604156,0.788940657296621,0.818403329921971,0.838496059009868
max_rnd_rnd,0.818403329921971,0.845350936622436,0.684038435639042,0.845350936622436,0.721928094887362,0.78301434673865
max_softDiscard_core,0.94566030460064,0.845350936622436,0.721928094887362,0.845350936622436,0.892121280577168,0.850082310662009
max_hardDiscard_border,0.892121280577168,0.818403329921971,0.892121280577168,0.869892685604156,0.684038435639042,0.831315402463901
Random smapling,0.980597440991727,0.94566030460064,0.912115630720428,0.92994293520918,0.892121280577168,0.932087518419829
